experience_idx,distillation,epoch,acc_train,acc_test
4,False,49,0.8466,0.7380
4,True,0,0.3866,0.3710
4,True,2,0.6130,0.5900
4,True,4,0.6752,0.6480
4,True,6,0.7462,0.7320
4,True,8,0.7262,0.6890
4,True,10,0.7384,0.6880
4,True,12,0.6956,0.6520
4,True,14,0.7800,0.7230
4,True,16,0.7948,0.7350
4,True,18,0.7450,0.7050
4,True,20,0.7964,0.7490
4,True,22,0.8086,0.7340
4,True,24,0.7906,0.7380
4,True,26,0.8260,0.7680
4,True,28,0.8464,0.7580
4,True,30,0.8036,0.7440
4,True,32,0.8418,0.7490
4,True,34,0.8330,0.7300
4,True,36,0.8636,0.7580
4,True,38,0.8160,0.7330
4,True,40,0.8524,0.7880
4,True,42,0.8982,0.8000
4,True,44,0.9048,0.8150
4,True,46,0.9184,0.8130
4,True,48,0.9140,0.8070
4,True,50,0.9164,0.8160
4,True,52,0.9228,0.8040
4,True,54,0.9230,0.8080
4,True,56,0.9166,0.8170
4,True,58,0.9266,0.8070
4,True,59,0.9270,0.8090
5,False,0,0.1588,0.1430
5,False,2,0.5890,0.5910
5,False,4,0.6680,0.6750
5,False,6,0.7016,0.7010
5,False,8,0.7016,0.7240
5,False,10,0.7604,0.7460
5,False,12,0.7820,0.7830
5,False,14,0.7394,0.7470
5,False,16,0.8028,0.7730
5,False,18,0.8558,0.8330
5,False,20,0.8402,0.8180
5,False,22,0.8312,0.8240
5,False,24,0.7970,0.7890
5,False,26,0.9012,0.8410
5,False,28,0.8954,0.8670
5,False,30,0.8372,0.7770
5,False,32,0.9130,0.8680
5,False,34,0.8742,0.8370
5,False,36,0.9496,0.8940
5,False,38,0.9670,0.8940
5,False,40,0.9630,0.8890
5,False,42,0.9628,0.8790
5,False,44,0.9714,0.8880
5,False,46,0.9676,0.8930
5,False,48,0.9516,0.8760
5,False,49,0.9460,0.8720
5,True,0,0.6302,0.5980
5,True,2,0.8430,0.8170
5,True,4,0.8382,0.8070
5,True,6,0.9004,0.8570
5,True,8,0.9024,0.8640
5,True,10,0.9094,0.8690
5,True,12,0.9060,0.8590
5,True,14,0.9004,0.8530
5,True,16,0.9216,0.8700
5,True,18,0.9134,0.8810
5,True,20,0.8834,0.8410
5,True,22,0.9090,0.8680
5,True,24,0.9014,0.8680
5,True,26,0.9320,0.8880
5,True,28,0.9416,0.8880
5,True,30,0.9328,0.8840
5,True,32,0.9246,0.8860
5,True,34,0.9220,0.8570
5,True,36,0.9410,0.8790
5,True,38,0.9322,0.8840
5,True,40,0.9584,0.9230
5,True,42,0.9742,0.9200
5,True,44,0.9736,0.9220
5,True,46,0.9792,0.9210
5,True,48,0.9796,0.9200
5,True,50,0.9800,0.9280
5,True,52,0.9828,0.9240
5,True,54,0.9830,0.9220
5,True,56,0.9824,0.9270
5,True,58,0.9846,0.9250
5,True,59,0.9808,0.9200
6,False,0,0.2322,0.2280
6,False,2,0.4430,0.4090
6,False,4,0.5000,0.4950
6,False,6,0.5512,0.5250
6,False,8,0.4836,0.4810
6,False,10,0.5726,0.5250
6,False,12,0.6024,0.5780
6,False,14,0.6196,0.5700
6,False,16,0.6350,0.6080
6,False,18,0.6450,0.6020
6,False,20,0.6282,0.5560
6,False,22,0.6686,0.6130
6,False,24,0.6592,0.6000
6,False,26,0.7136,0.6290
6,False,28,0.6770,0.6380
6,False,30,0.7156,0.6420
6,False,32,0.7070,0.6090
6,False,34,0.7494,0.6390
6,False,36,0.8404,0.6830
6,False,38,0.8624,0.6960
6,False,40,0.8532,0.7010
6,False,42,0.8686,0.6880
6,False,44,0.8616,0.6790
6,False,46,0.8502,0.6770
6,False,48,0.8634,0.6970
6,False,49,0.8660,0.6810
6,True,0,0.5006,0.4730
6,True,2,0.6986,0.6760
6,True,4,0.7324,0.6710
6,True,6,0.7694,0.6930
6,True,8,0.7806,0.7220
6,True,10,0.7992,0.7170
6,True,12,0.7794,0.6920
6,True,14,0.8100,0.7170
6,True,16,0.8170,0.7140
6,True,18,0.7946,0.7160
6,True,20,0.8302,0.7100
6,True,22,0.8358,0.7270
6,True,24,0.8138,0.7050
6,True,26,0.8060,0.7200
6,True,28,0.8582,0.7420
6,True,30,0.8476,0.7440
6,True,32,0.8190,0.7410
6,True,34,0.8510,0.7270
6,True,36,0.8588,0.7540
6,True,38,0.8512,0.7420
6,True,40,0.8378,0.7330
6,True,42,0.8938,0.7570
6,True,44,0.9102,0.7620
6,True,46,0.9106,0.7620
6,True,48,0.9108,0.7750
6,True,50,0.9144,0.7800
6,True,52,0.9216,0.7750
6,True,54,0.9210,0.7890
6,True,56,0.9254,0.7790
6,True,58,0.9236,0.7740
6,True,59,0.9264,0.7730
7,False,0,0.1820,0.1780
7,False,2,0.3572,0.4570
7,False,4,0.4084,0.4790
7,False,6,0.6274,0.6310
7,False,8,0.5540,0.5790
7,False,10,0.6486,0.6680
7,False,12,0.7020,0.6870
7,False,14,0.7336,0.7020
7,False,16,0.6756,0.6750
7,False,18,0.7312,0.6950
7,False,20,0.7080,0.6850
7,False,22,0.7882,0.7430
7,False,24,0.7162,0.6840
7,False,26,0.7560,0.7030
7,False,28,0.7958,0.7390
7,False,30,0.8262,0.7740
7,False,32,0.7742,0.7290
7,False,34,0.8230,0.7590
7,False,36,0.9034,0.8230
7,False,38,0.9130,0.8050
7,False,40,0.9368,0.8360
7,False,42,0.9052,0.8090
7,False,44,0.9210,0.8240
7,False,46,0.9222,0.8070
7,False,48,0.9268,0.8070
7,False,49,0.9216,0.8050
7,True,0,0.4930,0.4880
7,True,2,0.7658,0.7540
7,True,4,0.7788,0.7520
7,True,6,0.8066,0.7790
7,True,8,0.8232,0.8050
7,True,10,0.8244,0.7940
7,True,12,0.8300,0.7920
7,True,14,0.8538,0.8100
7,True,16,0.8392,0.7850
7,True,18,0.8414,0.7900
7,True,20,0.8392,0.8120
7,True,22,0.8836,0.8270
7,True,24,0.8666,0.7940
7,True,26,0.8726,0.8080
7,True,28,0.8838,0.8220
7,True,30,0.8974,0.8270
7,True,32,0.8704,0.8060
7,True,34,0.8912,0.8160
7,True,36,0.8952,0.8090
7,True,38,0.8900,0.8130
7,True,40,0.8968,0.8130
7,True,42,0.9330,0.8460
7,True,44,0.9372,0.8570
7,True,46,0.9414,0.8580
7,True,48,0.9416,0.8540
7,True,50,0.9420,0.8540
7,True,52,0.9502,0.8580
7,True,54,0.9480,0.8620
7,True,56,0.9504,0.8560
7,True,58,0.9486,0.8580
7,True,59,0.9484,0.8570
8,False,0,0.1962,0.2310
8,False,2,0.3812,0.3880
8,False,4,0.4084,0.4460
8,False,6,0.4710,0.5070
8,False,8,0.4742,0.4780
8,False,10,0.5086,0.5090
8,False,12,0.5822,0.5780
8,False,14,0.5650,0.5400
8,False,16,0.6078,0.5730
8,False,18,0.6250,0.5680
8,False,20,0.6692,0.6190
8,False,22,0.5752,0.5280
8,False,24,0.7016,0.6250
8,False,26,0.6510,0.5870
8,False,28,0.7114,0.6120
8,False,30,0.7448,0.6590
8,False,32,0.6762,0.5930
8,False,34,0.6912,0.5660
8,False,36,0.8090,0.6770
8,False,38,0.8400,0.6650
8,False,40,0.7792,0.6520
8,False,42,0.8410,0.6770
8,False,44,0.8442,0.6830
8,False,46,0.8348,0.6660
8,False,48,0.8338,0.6480
8,False,49,0.7880,0.6250
8,True,0,0.3790,0.3490
8,True,2,0.6248,0.6150
8,True,4,0.6722,0.6280
8,True,6,0.6666,0.6380
8,True,8,0.7114,0.6690
8,True,10,0.7280,0.6890
8,True,12,0.6990,0.6510
8,True,14,0.7258,0.6680
8,True,16,0.7566,0.6820
8,True,18,0.7792,0.6860
8,True,20,0.7632,0.6910
8,True,22,0.7598,0.6870
8,True,24,0.7486,0.6590
8,True,26,0.7842,0.6960
8,True,28,0.7482,0.6690
8,True,30,0.7886,0.6940
8,True,32,0.8120,0.7270
8,True,34,0.7982,0.7270
8,True,36,0.8230,0.7140
8,True,38,0.7890,0.6540
8,True,40,0.7760,0.7040
8,True,42,0.8480,0.7280
8,True,44,0.8538,0.7280
8,True,46,0.8628,0.7300
8,True,48,0.8678,0.7360
8,True,50,0.8698,0.7390
8,True,52,0.8638,0.7350
8,True,54,0.8828,0.7310
8,True,56,0.8848,0.7360
8,True,58,0.8766,0.7340
8,True,59,0.8788,0.7300
9,False,0,0.2252,0.2570
9,False,2,0.3538,0.3930
9,False,4,0.4660,0.4870
9,False,6,0.4586,0.4790
9,False,8,0.5516,0.5700
9,False,10,0.5898,0.5920
9,False,12,0.5348,0.5520
9,False,14,0.5798,0.5540
9,False,16,0.6652,0.6600
9,False,18,0.6858,0.6570
9,False,20,0.6706,0.6440
9,False,22,0.7192,0.6510
9,False,24,0.7728,0.7070
9,False,26,0.7808,0.7020
9,False,28,0.7870,0.7100
9,False,30,0.7192,0.6930
9,False,32,0.8058,0.7340
9,False,34,0.7458,0.6930
9,False,36,0.9138,0.7960
9,False,38,0.8960,0.7890
9,False,40,0.9064,0.7680
9,False,42,0.8876,0.7600
9,False,44,0.9116,0.7690
9,False,46,0.9118,0.7770
9,False,48,0.9300,0.7880
9,False,49,0.9248,0.7890
9,True,0,0.5074,0.4960
9,True,2,0.7250,0.7210
9,True,4,0.7676,0.7550
9,True,6,0.7824,0.7840
9,True,8,0.7490,0.7340
9,True,10,0.8036,0.7820
9,True,12,0.7970,0.7710
9,True,14,0.8310,0.7860
9,True,16,0.8442,0.7910
9,True,18,0.8386,0.7890
9,True,20,0.8566,0.7990
9,True,22,0.8398,0.7630
9,True,24,0.8524,0.7830
9,True,26,0.8776,0.7940
9,True,28,0.8672,0.8000
9,True,30,0.8882,0.8180
9,True,32,0.8320,0.7660
9,True,34,0.8760,0.8050
9,True,36,0.8624,0.7920
9,True,38,0.8392,0.7570
9,True,40,0.8770,0.8030
9,True,42,0.9174,0.8230
9,True,44,0.9252,0.8270
9,True,46,0.9260,0.8270
9,True,48,0.9304,0.8360
9,True,50,0.9338,0.8330
9,True,52,0.9388,0.8290
9,True,54,0.9340,0.8350
9,True,56,0.9402,0.8260
9,True,58,0.9386,0.8200
9,True,59,0.9386,0.8290
